fold_id,sample_id,timestamp,true_label,predicted_probability,threshold_prediction
0,0:0,2018-03-02T03:31:00+00:00,1,0.3204723298549652,0
0,0:1,2018-03-02T03:32:00+00:00,1,0.3205443322658539,0
0,0:2,2018-03-02T03:33:00+00:00,1,0.3213154077529907,0
0,0:3,2018-03-02T03:34:00+00:00,1,0.3199346363544464,0
0,0:4,2018-03-02T03:35:00+00:00,1,0.32155823707580566,0
0,0:5,2018-03-02T03:36:00+00:00,1,0.32251662015914917,0
0,0:6,2018-03-02T03:37:00+00:00,1,0.3208310902118683,0
0,0:7,2018-03-02T03:38:00+00:00,1,0.3211357593536377,0
0,0:8,2018-03-02T03:39:00+00:00,1,0.32054248452186584,0
0,0:9,2018-03-02T03:40:00+00:00,1,0.3200795352458954,0
0,0:10,2018-03-02T03:55:00+00:00,0,0.3232727646827698,0
0,0:11,2018-03-02T03:56:00+00:00,0,0.3190072774887085,0
0,0:12,2018-03-02T03:57:00+00:00,0,0.320299357175827,0
0,0:13,2018-03-02T03:58:00+00:00,0,0.31939786672592163,0
0,0:14,2018-03-02T03:59:00+00:00,0,0.31936630606651306,0
0,0:15,2018-03-02T04:00:00+00:00,0,0.3191038966178894,0
0,0:16,2018-03-02T04:01:00+00:00,0,0.31900230050086975,0
0,0:17,2018-03-02T04:02:00+00:00,0,0.3189951479434967,0
0,0:18,2018-03-02T04:03:00+00:00,0,0.3190560042858124,0
0,0:19,2018-03-02T04:04:00+00:00,0,0.31914404034614563,0
1,1:0,2018-03-02T03:42:00+00:00,1,0.31382066011428833,0
1,1:1,2018-03-02T03:43:00+00:00,1,0.3252570331096649,0
1,1:2,2018-03-02T03:44:00+00:00,1,0.3329593241214752,0
1,1:3,2018-03-02T03:45:00+00:00,1,0.34702640771865845,0
1,1:4,2018-03-02T03:46:00+00:00,1,0.3507211208343506,0
1,1:5,2018-03-02T03:47:00+00:00,1,0.3512435257434845,0
1,1:6,2018-03-02T03:48:00+00:00,1,0.3517651855945587,0
1,1:7,2018-03-02T03:49:00+00:00,1,0.35216179490089417,0
1,1:8,2018-03-02T03:50:00+00:00,1,0.3523070812225342,0
1,1:9,2018-03-02T03:51:00+00:00,1,0.3526327908039093,0
1,1:10,2018-03-02T03:52:00+00:00,1,0.35206231474876404,0
1,1:11,2018-03-02T03:53:00+00:00,1,0.35201698541641235,0
1,1:12,2018-03-02T03:55:00+00:00,0,0.3519502878189087,0
1,1:13,2018-03-02T03:56:00+00:00,0,0.35205864906311035,0
1,1:14,2018-03-02T03:57:00+00:00,0,0.3521427512168884,0
1,1:15,2018-03-02T03:58:00+00:00,0,0.3520868718624115,0
1,1:16,2018-03-02T03:59:00+00:00,0,0.3520102798938751,0
1,1:17,2018-03-02T04:00:00+00:00,0,0.35198500752449036,0
1,1:18,2018-03-02T04:01:00+00:00,0,0.35176384449005127,0
1,1:19,2018-03-02T04:02:00+00:00,0,0.35057348012924194,0
1,1:20,2018-03-02T04:03:00+00:00,0,0.34514495730400085,0
1,1:21,2018-03-02T04:04:00+00:00,0,0.3376425802707672,0
1,1:22,2018-03-02T04:05:00+00:00,0,0.31965646147727966,0
1,1:23,2018-03-02T04:06:00+00:00,0,0.31009307503700256,0
2,2:0,2018-03-02T10:08:00+00:00,0,0.3730044662952423,0
2,2:1,2018-03-02T10:09:00+00:00,0,0.36859479546546936,0
2,2:2,2018-03-02T10:10:00+00:00,0,0.36838918924331665,0
2,2:3,2018-03-02T10:11:00+00:00,0,0.36863356828689575,0
2,2:4,2018-03-02T10:12:00+00:00,0,0.3682260513305664,0
2,2:5,2018-03-02T10:45:00+00:00,1,0.38208654522895813,1
2,2:6,2018-03-02T10:07:00+00:00,0,0.36934876441955566,0
2,2:7,2018-03-02T10:06:00+00:00,0,0.3681132197380066,0
2,2:8,2018-03-02T10:05:00+00:00,0,0.36844202876091003,0
2,2:9,2018-03-02T10:04:00+00:00,0,0.3683573305606842,0
2,2:10,2018-03-02T10:03:00+00:00,0,0.3684796690940857,0
2,2:11,2018-03-02T10:02:00+00:00,0,0.36803561449050903,0
3,3:0,2018-03-02T10:47:00+00:00,1,0.34835267066955566,0
3,3:1,2018-03-02T10:07:00+00:00,0,0.3181148171424866,0
3,3:2,2018-03-02T10:06:00+00:00,0,0.29190337657928467,0
3,3:3,2018-03-02T10:05:00+00:00,0,0.29424041509628296,0
3,3:4,2018-03-02T10:04:00+00:00,0,0.30049023032188416,0
3,3:5,2018-03-02T10:03:00+00:00,0,0.32237136363983154,0
4,4:0,2018-03-02T10:51:00+00:00,1,0.2558389902114868,0
4,4:1,2018-03-02T10:07:00+00:00,0,0.31042739748954773,0
4,4:2,2018-03-02T10:06:00+00:00,0,0.3029195964336395,0
4,4:3,2018-03-02T10:05:00+00:00,0,0.3013487160205841,0
4,4:4,2018-03-02T10:04:00+00:00,0,0.303997665643692,0
4,4:5,2018-03-02T10:03:00+00:00,0,0.33336517214775085,0
5,5:0,2018-03-02T11:06:00+00:00,1,0.21903569996356964,0
5,5:1,2018-03-02T11:07:00+00:00,1,0.21213530004024506,0
5,5:2,2018-03-02T11:08:00+00:00,1,0.23372837901115417,0
5,5:3,2018-03-02T11:09:00+00:00,1,0.22060231864452362,0
5,5:4,2018-03-02T10:07:00+00:00,0,0.25286826491355896,0
5,5:5,2018-03-02T10:06:00+00:00,0,0.2106735110282898,0
5,5:6,2018-03-02T10:05:00+00:00,0,0.215706005692482,0
5,5:7,2018-03-02T10:04:00+00:00,0,0.22737005352973938,0
5,5:8,2018-03-02T10:03:00+00:00,0,0.30030912160873413,0
6,6:0,2018-03-02T11:11:00+00:00,1,0.20987655222415924,0
6,6:1,2018-03-02T11:12:00+00:00,1,0.20850668847560883,0
6,6:2,2018-03-02T11:13:00+00:00,1,0.2097264677286148,0
6,6:3,2018-03-02T11:14:00+00:00,1,0.20551536977291107,0
6,6:4,2018-03-02T10:07:00+00:00,0,0.2457650750875473,0
6,6:5,2018-03-02T10:06:00+00:00,0,0.23456549644470215,0
6,6:6,2018-03-02T10:05:00+00:00,0,0.23034390807151794,0
6,6:7,2018-03-02T10:04:00+00:00,0,0.2353142350912094,0
6,6:8,2018-03-02T10:03:00+00:00,0,0.28135883808135986,0
7,7:0,2018-03-02T11:16:00+00:00,1,0.2510681450366974,0
7,7:1,2018-03-02T11:17:00+00:00,1,0.25387337803840637,0
