fold_id,window_id,timestamp,source_day
0,2437,2018-03-02 03:55:00+00:00,02-03-2018
0,2438,2018-03-02 03:56:00+00:00,02-03-2018
0,2439,2018-03-02 03:57:00+00:00,02-03-2018
0,2440,2018-03-02 03:58:00+00:00,02-03-2018
0,2441,2018-03-02 03:59:00+00:00,02-03-2018
0,2442,2018-03-02 04:00:00+00:00,02-03-2018
0,2443,2018-03-02 04:01:00+00:00,02-03-2018
0,2444,2018-03-02 04:02:00+00:00,02-03-2018
0,2445,2018-03-02 04:03:00+00:00,02-03-2018
0,2446,2018-03-02 04:04:00+00:00,02-03-2018
1,2437,2018-03-02 03:55:00+00:00,02-03-2018
1,2438,2018-03-02 03:56:00+00:00,02-03-2018
1,2439,2018-03-02 03:57:00+00:00,02-03-2018
1,2440,2018-03-02 03:58:00+00:00,02-03-2018
1,2441,2018-03-02 03:59:00+00:00,02-03-2018
1,2442,2018-03-02 04:00:00+00:00,02-03-2018
1,2443,2018-03-02 04:01:00+00:00,02-03-2018
1,2444,2018-03-02 04:02:00+00:00,02-03-2018
1,2445,2018-03-02 04:03:00+00:00,02-03-2018
1,2446,2018-03-02 04:04:00+00:00,02-03-2018
1,2447,2018-03-02 04:05:00+00:00,02-03-2018
1,2448,2018-03-02 04:06:00+00:00,02-03-2018
2,2614,2018-03-02 10:07:00+00:00,02-03-2018
2,2613,2018-03-02 10:06:00+00:00,02-03-2018
2,2612,2018-03-02 10:05:00+00:00,02-03-2018
2,2611,2018-03-02 10:04:00+00:00,02-03-2018
2,2610,2018-03-02 10:03:00+00:00,02-03-2018
2,2609,2018-03-02 10:02:00+00:00,02-03-2018
3,2614,2018-03-02 10:07:00+00:00,02-03-2018
3,2613,2018-03-02 10:06:00+00:00,02-03-2018
3,2612,2018-03-02 10:05:00+00:00,02-03-2018
3,2611,2018-03-02 10:04:00+00:00,02-03-2018
3,2610,2018-03-02 10:03:00+00:00,02-03-2018
4,2614,2018-03-02 10:07:00+00:00,02-03-2018
4,2613,2018-03-02 10:06:00+00:00,02-03-2018
4,2612,2018-03-02 10:05:00+00:00,02-03-2018
4,2611,2018-03-02 10:04:00+00:00,02-03-2018
4,2610,2018-03-02 10:03:00+00:00,02-03-2018
5,2614,2018-03-02 10:07:00+00:00,02-03-2018
5,2613,2018-03-02 10:06:00+00:00,02-03-2018
5,2612,2018-03-02 10:05:00+00:00,02-03-2018
5,2611,2018-03-02 10:04:00+00:00,02-03-2018
5,2610,2018-03-02 10:03:00+00:00,02-03-2018
6,2614,2018-03-02 10:07:00+00:00,02-03-2018
6,2613,2018-03-02 10:06:00+00:00,02-03-2018
6,2612,2018-03-02 10:05:00+00:00,02-03-2018
6,2611,2018-03-02 10:04:00+00:00,02-03-2018
6,2610,2018-03-02 10:03:00+00:00,02-03-2018
7,2614,2018-03-02 10:07:00+00:00,02-03-2018
7,2613,2018-03-02 10:06:00+00:00,02-03-2018
7,2612,2018-03-02 10:05:00+00:00,02-03-2018
7,2611,2018-03-02 10:04:00+00:00,02-03-2018
7,2610,2018-03-02 10:03:00+00:00,02-03-2018
8,2614,2018-03-02 10:07:00+00:00,02-03-2018
8,2613,2018-03-02 10:06:00+00:00,02-03-2018
8,2612,2018-03-02 10:05:00+00:00,02-03-2018
8,2611,2018-03-02 10:04:00+00:00,02-03-2018
8,2610,2018-03-02 10:03:00+00:00,02-03-2018
8,2609,2018-03-02 10:02:00+00:00,02-03-2018
8,2608,2018-03-02 10:01:00+00:00,02-03-2018
9,2614,2018-03-02 10:07:00+00:00,02-03-2018
9,2613,2018-03-02 10:06:00+00:00,02-03-2018
9,2612,2018-03-02 10:05:00+00:00,02-03-2018
9,2611,2018-03-02 10:04:00+00:00,02-03-2018
9,2610,2018-03-02 10:03:00+00:00,02-03-2018
10,55,2018-02-14 01:55:00+00:00,14-02-2018
10,54,2018-02-14 01:54:00+00:00,14-02-2018
10,53,2018-02-14 01:53:00+00:00,14-02-2018
10,52,2018-02-14 01:52:00+00:00,14-02-2018
10,51,2018-02-14 01:51:00+00:00,14-02-2018
10,50,2018-02-14 01:50:00+00:00,14-02-2018
11,55,2018-02-14 01:55:00+00:00,14-02-2018
11,54,2018-02-14 01:54:00+00:00,14-02-2018
11,53,2018-02-14 01:53:00+00:00,14-02-2018
11,52,2018-02-14 01:52:00+00:00,14-02-2018
11,51,2018-02-14 01:51:00+00:00,14-02-2018
