fold_id,threshold,validation_f1,test_f1,test_precision,test_recall,test_fpr,selected_on_validation
10,0.1,0.6704119850187266,0.15384615384615385,0.08333333333333333,1.0,1.0,False
10,0.15,0.6704119850187266,0.15384615384615385,0.08333333333333333,1.0,1.0,False
10,0.2,0.6704119850187266,0.15384615384615385,0.08333333333333333,1.0,1.0,False
10,0.25,0.6704119850187266,0.15384615384615385,0.08333333333333333,1.0,1.0,False
10,0.3,0.6994535519125683,0.6666666666666666,0.5,1.0,0.09090909090909091,True
10,0.35,0.13861386138613863,1.0,1.0,1.0,0.0,False
10,0.38,0.053475935828877004,1.0,1.0,1.0,0.0,False
10,0.4,0.0,1.0,1.0,1.0,0.0,False
10,0.45,0.0,1.0,1.0,1.0,0.0,False
10,0.5,0.0,0.0,0.0,0.0,0.0,False
10,0.6,0.0,0.0,0.0,0.0,0.0,False
10,0.7,0.0,0.0,0.0,0.0,0.0,False
10,0.8,0.0,0.0,0.0,0.0,0.0,False
10,0.9,0.0,0.0,0.0,0.0,0.0,False
11,0.1,0.6716697936210131,0.6153846153846154,0.4444444444444444,1.0,1.0,False
11,0.15,0.6716697936210131,0.6153846153846154,0.4444444444444444,1.0,1.0,False
11,0.2,0.6716697936210131,0.6153846153846154,0.4444444444444444,1.0,1.0,False
11,0.25,0.6716697936210131,0.6153846153846154,0.4444444444444444,1.0,1.0,False
11,0.3,0.7847533632286996,0.6666666666666666,0.5,1.0,0.8,True
11,0.35,0.0,1.0,1.0,1.0,0.0,False
11,0.38,0.0,0.0,0.0,0.0,0.0,False
11,0.4,0.0,0.0,0.0,0.0,0.0,False
11,0.45,0.0,0.0,0.0,0.0,0.0,False
11,0.5,0.0,0.0,0.0,0.0,0.0,False
11,0.6,0.0,0.0,0.0,0.0,0.0,False
11,0.7,0.0,0.0,0.0,0.0,0.0,False
11,0.8,0.0,0.0,0.0,0.0,0.0,False
11,0.9,0.0,0.0,0.0,0.0,0.0,False
13,0.1,0.6741996233521658,0.2857142857142857,0.16666666666666666,1.0,1.0,True
13,0.15,0.6741996233521658,0.2857142857142857,0.16666666666666666,1.0,1.0,False
13,0.2,0.6741996233521658,0.2857142857142857,0.16666666666666666,1.0,1.0,False
13,0.25,0.6741996233521658,0.2857142857142857,0.16666666666666666,1.0,1.0,False
13,0.3,0.0,1.0,1.0,1.0,0.0,False
13,0.35,0.0,1.0,1.0,1.0,0.0,False
13,0.38,0.0,1.0,1.0,1.0,0.0,False
13,0.4,0.0,1.0,1.0,1.0,0.0,False
13,0.45,0.0,0.0,0.0,0.0,0.0,False
13,0.5,0.0,0.0,0.0,0.0,0.0,False
13,0.6,0.0,0.0,0.0,0.0,0.0,False
13,0.7,0.0,0.0,0.0,0.0,0.0,False
13,0.8,0.0,0.0,0.0,0.0,0.0,False
13,0.9,0.0,0.0,0.0,0.0,0.0,False
14,0.1,0.678030303030303,0.6666666666666666,0.5,1.0,1.0,True
14,0.15,0.678030303030303,0.6666666666666666,0.5,1.0,1.0,False
14,0.2,0.678030303030303,0.6666666666666666,0.5,1.0,1.0,False
14,0.25,0.678030303030303,0.6666666666666666,0.5,1.0,1.0,False
14,0.3,0.5801526717557252,1.0,1.0,1.0,0.0,False
14,0.35,0.0,1.0,1.0,1.0,0.0,False
14,0.38,0.0,0.9333333333333333,1.0,0.875,0.0,False
14,0.4,0.0,0.0,0.0,0.0,0.0,False
14,0.45,0.0,0.0,0.0,0.0,0.0,False
14,0.5,0.0,0.0,0.0,0.0,0.0,False
14,0.6,0.0,0.0,0.0,0.0,0.0,False
14,0.7,0.0,0.0,0.0,0.0,0.0,False
14,0.8,0.0,0.0,0.0,0.0,0.0,False
14,0.9,0.0,0.0,0.0,0.0,0.0,False
