fold_id,sample_id,timestamp,true_label,predicted_probability,threshold_prediction
10,10:0,2018-02-14T01:56:00+00:00,0,0.29616445302963257,0
10,10:1,2018-02-14T01:57:00+00:00,0,0.29877904057502747,0
10,10:2,2018-02-14T01:58:00+00:00,0,0.2960488498210907,0
10,10:3,2018-02-14T01:59:00+00:00,0,0.29647594690322876,0
10,10:4,2018-02-14T02:00:00+00:00,0,0.29571276903152466,0
10,10:5,2018-02-14T02:02:00+00:00,1,0.4527808725833893,1
10,10:6,2018-02-14T01:55:00+00:00,0,0.2977069914340973,0
10,10:7,2018-02-14T01:54:00+00:00,0,0.2997640073299408,0
10,10:8,2018-02-14T01:53:00+00:00,0,0.29587462544441223,0
10,10:9,2018-02-14T01:52:00+00:00,0,0.3212178349494934,0
10,10:10,2018-02-14T01:51:00+00:00,0,0.29653146862983704,0
10,10:11,2018-02-14T01:50:00+00:00,0,0.2984495759010315,0
11,11:0,2018-02-14T02:04:00+00:00,1,0.3736650347709656,0
11,11:1,2018-02-14T02:05:00+00:00,1,0.3655950129032135,0
11,11:2,2018-02-14T02:06:00+00:00,1,0.37502697110176086,0
11,11:3,2018-02-14T02:07:00+00:00,1,0.3760550022125244,0
11,11:4,2018-02-14T01:55:00+00:00,0,0.30147260427474976,0
11,11:5,2018-02-14T01:54:00+00:00,0,0.30709362030029297,0
11,11:6,2018-02-14T01:53:00+00:00,0,0.2982848584651947,0
11,11:7,2018-02-14T01:52:00+00:00,0,0.31045106053352356,0
11,11:8,2018-02-14T01:51:00+00:00,0,0.3005486726760864,0
13,13:0,2018-02-14T02:20:00+00:00,1,0.4341755211353302,1
13,13:1,2018-02-14T01:55:00+00:00,0,0.2845747768878937,0
13,13:2,2018-02-14T01:54:00+00:00,0,0.28895387053489685,0
13,13:3,2018-02-14T01:53:00+00:00,0,0.28446164727211,0
13,13:4,2018-02-14T01:52:00+00:00,0,0.2886013686656952,0
13,13:5,2018-02-14T01:51:00+00:00,0,0.2843326926231384,0
14,14:0,2018-02-14T02:22:00+00:00,1,0.38006094098091125,1
14,14:1,2018-02-14T02:23:00+00:00,1,0.3861907422542572,1
14,14:2,2018-02-14T02:24:00+00:00,1,0.38425084948539734,1
14,14:3,2018-02-14T02:25:00+00:00,1,0.37814605236053467,0
14,14:4,2018-02-14T02:26:00+00:00,1,0.38113561272621155,1
14,14:5,2018-02-14T02:27:00+00:00,1,0.3872891068458557,1
14,14:6,2018-02-14T02:28:00+00:00,1,0.3845462501049042,1
14,14:7,2018-02-14T02:29:00+00:00,1,0.3856559693813324,1
14,14:8,2018-02-14T01:55:00+00:00,0,0.2934321463108063,0
14,14:9,2018-02-14T01:54:00+00:00,0,0.2937849164009094,0
14,14:10,2018-02-14T01:53:00+00:00,0,0.2926553785800934,0
14,14:11,2018-02-14T01:52:00+00:00,0,0.2846299111843109,0
14,14:12,2018-02-14T01:51:00+00:00,0,0.2888014316558838,0
14,14:13,2018-02-14T01:50:00+00:00,0,0.28308096528053284,0
14,14:14,2018-02-14T01:49:00+00:00,0,0.2877129316329956,0
14,14:15,2018-02-14T01:48:00+00:00,0,0.2915697395801544,0
