feature,between_day_variance,within_day_variance
duration_microsec_mean,6.1723600502008855,5.1711175083765015
duration_microsec_std,0.12457390464582836,1.5674798957783287
duration_microsec_sum,0.3800343211454478,0.3566027194088081
duration_microsec_min,0.2844143742111747,1.6223301794702687
duration_microsec_max,390.855333038792,866.1415841951057
packet_count_fwd_mean,6.951645155495359,38.4148286875979
packet_count_fwd_std,0.05318895091477752,2.2702260074755904
packet_count_fwd_sum,0.7021704861124698,3.9001643306492664
packet_count_fwd_min,0.6875785169833319,1.1622561137085947
packet_count_fwd_max,0.09986003496851042,0.7400788992921458
packet_count_bwd_mean,1.0085697726203855,0.6617848348376351
packet_count_bwd_std,0.3028807548347952,0.2850372676362869
packet_count_bwd_sum,2.71129137637904,1.076701514017755
packet_count_bwd_min,0.07994978890636104,2.849061278612164
packet_count_bwd_max,0.5645322580699024,0.2930557094827948
byte_count_fwd_mean,6.460488369683672,18.666459528693874
byte_count_fwd_std,0.4489469122070834,7.2095523563111215
byte_count_fwd_sum,0.5658547996342886,4.401232686288831
byte_count_fwd_min,0.32829555395434606,1.7748027795636248
byte_count_fwd_max,0.06218581675903959,2.477123292786379
byte_count_bwd_mean,1.8463069781485308,0.6514892203668664
byte_count_bwd_std,0.9441013840459963,0.36019456127768185
byte_count_bwd_sum,3.0475724514306104,1.1002204085634748
byte_count_bwd_min,0.025436278058659906,3.3526112321867463
byte_count_bwd_max,1.2561673570436855,0.4013293204049593
fwd_pkt_len_max_mean,0.1521037086736728,2.3527080894838392
fwd_pkt_len_max_std,0.3465970079188875,3.1897902195094345
fwd_pkt_len_max_sum,15.226129638921472,148.86546096245655
fwd_pkt_len_max_min,0.13944514569591115,2.2614747620716154
fwd_pkt_len_max_max,6.033884720739357,61.01693112087577
fwd_pkt_len_min_mean,44.87307317938568,40.25361715439306
fwd_pkt_len_min_std,10.948516211171023,11.820000262013272
fwd_pkt_len_min_sum,0.2258047422048938,0.7006628112545221
fwd_pkt_len_min_min,0.1115686792261437,1.8814699045307777
fwd_pkt_len_min_max,0.24283509306854847,0.5094638025817132
fwd_pkt_len_mean_mean,22.500729133529568,25.457462176451088
fwd_pkt_len_mean_std,7.543870385056101,10.13055045242161
fwd_pkt_len_mean_sum,10.975253172610852,101.15521981420899
fwd_pkt_len_mean_min,0.1247806617786124,1.8864166411037242
fwd_pkt_len_mean_max,0.5253773745284807,10.434815536738498
fwd_pkt_len_std_mean,0.7364072998129373,2.63242439800432
fwd_pkt_len_std_std,2.3191392998604696,4.327260557613421
fwd_pkt_len_std_sum,33.82304917455903,292.7516763086533
fwd_pkt_len_std_min,0.3528518015217623,62.86181556658181
fwd_pkt_len_std_max,1.316420095755612,3.4187547515651198
bwd_pkt_len_max_mean,1.5464230338092195,1.352985743917763
bwd_pkt_len_max_std,6.98966972847978,2.6392272927436045
bwd_pkt_len_max_sum,1.1528874063924286,19.83598232779011
bwd_pkt_len_max_min,0.026400115178343602,4.869805509008589
