fold_id,sample_id,timestamp,true_label,predicted_probability,threshold_prediction
0,0:0,2018-03-02T03:31:00+00:00,1,0.4274804890155792,1
0,0:1,2018-03-02T03:32:00+00:00,1,0.42805546522140503,1
0,0:2,2018-03-02T03:33:00+00:00,1,0.42750996351242065,1
0,0:3,2018-03-02T03:34:00+00:00,1,0.4278202950954437,1
0,0:4,2018-03-02T03:35:00+00:00,1,0.42738667130470276,1
0,0:5,2018-03-02T03:36:00+00:00,1,0.4274645149707794,1
0,0:6,2018-03-02T03:37:00+00:00,1,0.4277564287185669,1
0,0:7,2018-03-02T03:38:00+00:00,1,0.42784804105758667,1
0,0:8,2018-03-02T03:39:00+00:00,1,0.4273967444896698,1
0,0:9,2018-03-02T03:40:00+00:00,1,0.4274068772792816,1
0,0:10,2018-03-02T03:55:00+00:00,0,0.428297221660614,1
0,0:11,2018-03-02T03:56:00+00:00,0,0.42747461795806885,1
0,0:12,2018-03-02T03:57:00+00:00,0,0.4275969862937927,1
0,0:13,2018-03-02T03:58:00+00:00,0,0.4273732900619507,1
0,0:14,2018-03-02T03:59:00+00:00,0,0.4273585081100464,1
0,0:15,2018-03-02T04:00:00+00:00,0,0.42749232053756714,1
0,0:16,2018-03-02T04:01:00+00:00,0,0.4275866150856018,1
0,0:17,2018-03-02T04:02:00+00:00,0,0.4275446832180023,1
0,0:18,2018-03-02T04:03:00+00:00,0,0.4275294244289398,1
0,0:19,2018-03-02T04:04:00+00:00,0,0.42752113938331604,1
